data,hora,t1,t2,x,y,z
01/08/2011,11:13:53.00,4,8,291593.073,7606705.751,-6.165
01/08/2011,11:13:54.00,4,8,291594.059,7606705.703,-6.248
01/08/2011,11:13:55.00,4,8,291594.545,7606705.704,-6.330
01/08/2011,11:13:56.00,4,8,291594.575,7606705.633,-6.340
01/08/2011,11:13:57.00,4,8,291594.587,7606705.648,-6.334
01/08/2011,11:13:58.00,4,8,291594.580,7606705.640,-6.341
01/08/2011,11:13:59.00,4,8,291594.610,7606705.633,-6.341
01/08/2011,11:14:00.00,4,8,291594.635,7606705.644,-6.347
01/08/2011,11:14:01.00,4,8,291594.635,7606705.647,-6.350
01/08/2011,11:14:02.00,4,8,291594.632,7606705.650,-6.352
01/08/2011,11:14:03.00,4,8,291594.624,7606705.645,-6.354
01/08/2011,11:14:04.00,4,8,291594.613,7606705.644,-6.355
01/08/2011,11:14:05.00,4,8,291594.605,7606705.641,-6.350
01/08/2011,11:14:06.00,4,8,291594.481,7606705.547,-6.357
01/08/2011,11:14:07.00,4,8,291594.587,7606705.061,-6.306
01/08/2011,11:14:08.00,4,8,291594.736,7606703.825,-6.318
01/08/2011,11:14:09.00,4,8,291594.934,7606702.314,-6.344
01/08/2011,11:14:10.00,4,8,291595.115,7606700.818,-6.335
01/08/2011,11:14:11.00,4,8,291595.255,7606699.255,-6.323
01/08/2011,11:14:12.00,4,8,291595.321,7606697.739,-6.347
01/08/2011,11:14:13.00,4,8,291595.241,7606696.219,-6.351
01/08/2011,11:14:14.00,4,8,291595.244,7606694.695,-6.347
01/08/2011,11:14:15.00,4,8,291595.382,7606693.231,-6.341
01/08/2011,11:14:16.00,4,8,291595.240,7606691.896,-6.314
01/08/2011,11:14:17.00,4,8,291595.021,7606690.741,-6.357
01/08/2011,11:14:18.00,4,8,291595.042,7606690.305,-6.347
01/08/2011,11:14:19.00,4,8,291595.174,7606690.490,-6.396
01/08/2011,11:14:20.00,4,8,291595.168,7606690.466,-6.407
01/08/2011,11:14:21.00,4,8,291595.174,7606690.449,-6.407
01/08/2011,11:14:22.00,4,8,291595.167,7606690.450,-6.403
01/08/2011,11:14:23.00,4,8,291595.162,7606690.458,-6.399
01/08/2011,11:14:24.00,4,8,291595.130,7606690.457,-6.404
01/08/2011,11:14:25.00,4,8,291594.534,7606690.522,-6.270
01/08/2011,11:14:26.00,4,8,291593.247,7606690.624,-6.215
01/08/2011,11:14:27.00,4,8,291591.789,7606690.778,-6.094
01/08/2011,11:14:28.00,4,8,291590.441,7606691.114,-5.944
01/08/2011,11:14:29.00,4,8,291589.123,7606691.592,-5.855
01/08/2011,11:14:30.00,4,8,291587.826,7606692.034,-5.741
01/08/2011,11:14:31.00,4,8,291586.513,7606692.460,-5.650
01/08/2011,11:14:32.00,4,8,291585.202,7606692.867,-5.560
01/08/2011,11:14:33.00,4,8,291583.923,7606693.119,-5.500
01/08/2011,11:14:34.00,4,8,291582.711,7606693.351,-5.405
01/08/2011,11:14:35.00,4,8,291581.589,7606693.576,-5.336
01/08/2011,11:14:36.00,4,8,291580.497,7606693.813,-5.248
01/08/2011,11:14:37.00,4,8,291579.374,7606694.053,-5.141
01/08/2011,11:14:38.00,4,8,291578.175,7606694.281,-5.021
01/08/2011,11:14:39.00,4,8,291576.960,7606694.556,-4.875
01/08/2011,11:14:40.00,4,8,291575.854,7606694.792,-4.792
01/08/2011,11:14:41.00,4,8,291574.790,7606695.036,-4.698
01/08/2011,11:14:42.00,4,8,291573.721,7606695.226,-4.593
01/08/2011,11:14:43.00,4,8,291572.649,7606695.420,-4.453
01/08/2011,11:14:44.00,4,8,291571.590,7606695.671,-4.320
01/08/2011,11:14:45.00,4,8,291570.465,7606695.971,-4.161
01/08/2011,11:14:46.00,4,8,291569.462,7606696.190,-4.037
01/08/2011,11:14:47.00,4,8,291568.374,7606696.429,-3.904
01/08/2011,11:14:48.00,4,8,291567.287,7606696.594,-3.787
01/08/2011,11:14:49.00,4,8,291566.185,7606696.808,-3.715
01/08/2011,11:14:50.00,4,8,291565.057,7606697.031,-3.669
01/08/2011,11:14:51.00,4,8,291563.883,7606697.254,-3.549
01/08/2011,11:14:52.00,4,8,291562.856,7606697.421,-3.488
01/08/2011,11:14:53.00,4,8,291562.363,7606697.422,-3.574
01/08/2011,11:14:54.00,4,8,291562.320,7606697.461,-3.576
01/08/2011,11:14:55.00,4,8,291562.315,7606697.499,-3.579
01/08/2011,11:14:56.00,4,8,291562.298,7606697.475,-3.579
01/08/2011,11:14:57.00,4,8,291562.304,7606697.484,-3.580
01/08/2011,11:14:58.00,4,8,291562.311,7606697.497,-3.581
01/08/2011,11:14:59.00,4,8,291562.306,7606697.500,-3.581
01/08/2011,11:15:00.00,4,8,291562.305,7606697.505,-3.580
01/08/2011,11:15:01.00,4,8,291562.298,7606697.500,-3.584
01/08/2011,11:15:02.00,4,8,291562.295,7606697.502,-3.585
01/08/2011,11:15:03.00,4,8,291562.298,7606697.509,-3.584
01/08/2011,11:15:04.00,4,8,291562.001,7606697.565,-3.492
01/08/2011,11:15:05.00,4,8,291561.050,7606697.756,-3.395
01/08/2011,11:15:06.00,4,8,291559.856,7606697.998,-3.409
01/08/2011,11:15:07.00,4,8,291558.541,7606698.318,-3.434
01/08/2011,11:15:08.00,4,8,291557.258,7606698.601,-3.445
01/08/2011,11:15:09.00,4,8,291555.990,7606698.978,-3.453
01/08/2011,11:15:10.00,4,8,291554.793,7606699.414,-3.471
01/08/2011,11:15:11.00,4,8,291553.515,7606699.669,-3.484
01/08/2011,11:15:12.00,4,8,291552.129,7606700.011,-3.539
01/08/2011,11:15:13.00,4,8,291550.857,7606700.262,-3.564
01/08/2011,11:15:14.00,4,8,291549.667,7606700.535,-3.614
01/08/2011,11:15:15.00,4,8,291548.335,7606700.804,-3.655
01/08/2011,11:15:16.00,4,8,291546.989,7606701.217,-3.646
01/08/2011,11:15:17.00,4,8,291545.669,7606701.558,-3.624
01/08/2011,11:15:18.00,4,8,291544.314,7606701.856,-3.635
01/08/2011,11:15:19.00,4,8,291542.998,7606702.129,-3.528
01/08/2011,11:15:20.00,4,8,291541.698,7606702.529,-3.511
01/08/2011,11:15:21.00,4,8,291540.386,7606702.854,-3.502
01/08/2011,11:15:22.00,4,8,291539.169,7606703.211,-3.443
01/08/2011,11:15:23.00,4,8,291537.843,7606703.575,-3.414
01/08/2011,11:15:24.00,4,8,291536.630,7606703.879,-3.310
01/08/2011,11:15:25.00,4,8,291535.433,7606704.155,-3.242
01/08/2011,11:15:26.00,4,8,291534.298,7606704.448,-3.127
01/08/2011,11:15:27.00,4,8,291533.481,7606704.624,-3.118
01/08/2011,11:15:28.00,4,8,291533.246,7606704.641,-3.179
01/08/2011,11:15:29.00,4,8,291533.225,7606704.661,-3.180
01/08/2011,11:15:30.00,4,8,291533.221,7606704.670,-3.183
01/08/2011,11:15:31.00,4,8,291533.214,7606704.671,-3.182
01/08/2011,11:15:32.00,4,8,291533.231,7606704.681,-3.182
01/08/2011,11:15:33.00,4,8,291533.235,7606704.676,-3.179
01/08/2011,11:15:34.00,4,8,291533.241,7606704.690,-3.187
01/08/2011,11:15:35.00,4,8,291533.238,7606704.691,-3.182
01/08/2011,11:15:36.00,4,8,291533.247,7606704.697,-3.187
01/08/2011,11:15:37.00,4,8,291533.255,7606704.694,-3.183
01/08/2011,11:15:38.00,4,8,291533.258,7606704.691,-3.189
01/08/2011,11:15:39.00,4,8,291533.265,7606704.698,-3.186
01/08/2011,11:15:40.00,4,8,291533.272,7606704.708,-3.184
01/08/2011,11:15:41.00,4,8,291533.272,7606704.695,-3.181
01/08/2011,11:15:42.00,4,8,291533.265,7606704.697,-3.184
01/08/2011,11:15:43.00,4,8,291533.261,7606704.695,-3.186
01/08/2011,11:15:44.00,4,8,291533.265,7606704.690,-3.187
01/08/2011,11:15:45.00,4,8,291533.272,7606704.693,-3.190
